timestamp,tag,x,y,z, pressure, acceleration_0, acceleration_1, acceleration_2, magnetic_0, magnetic_1, magnetic_2, angular_vel_0, angular_vel_1, angular_vel_2, euler_angles_0, euler_angles_1, euler_angles_2, quaternion_0, quaternion_1, quaternion_2, quaternion_3, linear_acceleration_0, linear_acceleration_1, linear_acceleration_2, gravity_vector_0, gravity_vector_1, gravity_vector_2, temperature
1551531101,0x6e58,-690,5055,276,100451500,391,-216,-880,-1521,2176,1993,1,0,0,5007,375,2643,2293,6348,-14593,3148,0,13,-10,390,-229,-869,37
1551531101,0x6737,-733,5720,4832,100390000,744,338,-558,-318,-555,502,-3,-2,-1,3344,784,-2381,1924,14271,2433,7426,3,4,-18,740,332,-550,45
1551531101,0x6724,-3422,9397,54,100300250,790,519,-276,-481,-182,352,165,-27,81,2551,867,-1840,1791,-9401,-8893,-9910,3,8,-42,794,521,-240,44
1551531101,0x6726,-941,4933,690,100322250,-921,115,-338,363,230,-1502,-2,5,1,3719,-1112,-2582,-4186,11210,-7285,-8496,-3,8,-7,-918,109,-325,39
1551531102,0x6734,0,0,0,100379500,-367,336,-856,-179,-740,712,0,7,4,3874,-349,-2536,-838,-13547,8163,4192,-2,3,-9,-364,332,-847,46
1551531103,0x6750,-864,9859,4678,100624250,877,131,-388,-268,323,1027,61,69,121,5430,1016,-2449,-8845,-5355,12607,-1608,0,-66,2,877,197,-390,41
1551531103,0x6735,-285,5296,5228,100411250,-145,30,972,300,486,-240,-4,0,0,4823,-151,-38,-14243,366,-1343,-7978,15,-8,10,-161,40,966,43
1551531103,0x6737,-765,5603,302,100389000,741,339,-564,-305,-555,508,0,-4,0,3344,784,-2381,1924,14271,2433,7426,1,6,-14,740,332,-550,45
1551531104,0x6e36,-2614,8129,828,100393000,435,112,-861,-446,-275,540,110,-65,-153,4083,421,-2748,3140,12606,-9714,2302,0,-12,8,434,125,-869,42
1551531104,0x6e58,-665,5036,290,100452500,391,-217,-875,-1526,2193,1966,-1,6,1,5007,375,2643,2293,6348,-14593,3148,1,12,-5,390,-229,-869,37
1551531104,0x6737,-616,5491,4887,100389250,740,339,-563,-300,-548,508,3,0,1,3344,784,-2381,1924,14271,2433,7426,2,4,-16,740,332,-550,45
1551531104,0x6724,-3686,9942,5212,100297250,817,517,-225,-483,-195,356,-169,98,92,2617,898,-1839,1444,-9940,-8183,-10030,2,22,5,814,494,-230,44
1551531104,0x6726,-916,5096,4585,100323000,-922,116,-329,350,236,-1489,-3,-1,0,3719,-1112,-2582,-4186,11210,-7285,-8496,-3,6,-4,-918,109,-325,39
1551531106,0x6750,-340,11268,2068,100624000,853,155,-356,-259,377,942,639,141,-239,5177,1075,-2651,-8696,-5553,12401,-2862,-54,63,-2,904,93,-368,41
1551531106,0x6735,-321,5291,5222,100412750,-145,32,975,300,497,-240,-1,-2,-1,4823,-151,-38,-14243,366,-1343,-7978,15,-7,2,-161,40,966,43
1551531106,0x6737,-735,5605,307,100391750,744,337,-564,-305,-542,523,-1,2,1,3344,784,-2381,1924,14271,2433,7426,4,4,-13,740,332,-550,45
1551531107,0x6e36,-2409,8485,4580,100388250,374,97,-886,-358,-251,604,-130,-7,331,3838,365,-2778,2362,13893,-8008,2389,-5,-2,11,380,100,-898,42
1551531107,0x6e58,-592,5008,4920,100451500,391,-216,-871,-1532,2187,1987,1,-2,1,5007,375,2643,2293,6348,-14593,3148,3,12,0,390,-229,-869,37
1551531107,0x6737,-738,5584,367,100391000,742,336,-555,-305,-555,488,1,0,1,3344,784,-2381,1924,14271,2433,7426,2,4,-5,740,332,-550,45
1551531107,0x6724,-3686,9942,5212,100295500,827,453,-248,-483,-196,384,18,-21,-33,2659,911,-1899,1196,-10453,-7753,-9881,5,-14,8,822,468,-256,44
1551531107,0x6726,-1131,4867,1185,100324500,-919,115,-333,350,248,-1502,0,0,2,3719,-1112,-2582,-4186,11210,-7285,-8496,0,5,-8,-918,109,-325,39
1551531109,0x6734,0,0,0,100379500,-368,335,-856,-179,-747,705,9,18,5,3874,-352,-2538,-806,-13544,8163,4208,-2,1,-8,-368,330,-846,46
1551531109,0x6750,-824,9562,249,100628750,961,133,-284,-355,377,915,94,-89,10,5297,1142,-2476,-9464,-5055,12140,-2440,30,9,8,929,133,-282,41
1551531109,0x6735,-470,4965,227,100415500,-145,32,978,305,486,-244,0,-2,1,4823,-151,-38,-14243,366,-1343,-7978,15,-7,12,-161,40,966,43
1551531110,0x6737,-760,5561,373,100392500,741,341,-569,-305,-548,502,-1,-1,-1,3344,784,-2381,1924,14271,2433,7426,3,5,-11,740,332,-550,45
